Review,Condition,Rating,Sentiment
"I was prescribed this medication after years of IBS-D.  I was in the restroom all the time, sometimes 22 times a day.  All my tests colon oscopy, MRI, CAT, ultra sound all clear.  I was excited there was something might actually give me my life back.  Day 1 I didn&#039;t see a difference just bad cramps, Day 2 about a 25% difference in bathroom trips but still cramps, Day 3 cramps and pain in right side off and on, Day 4 Severe Pain in right side and vomiting. Stopped taking immediately and contacted Doctor.  Medication caused severe spasms in my gallbladder, It&#039;s now been 7 days still in extreme pain and waiting for referral for ultrasound to see if I need my Gallbladder removed.  What I thought would give me my life back made everything worse.",Irritable Bowel Syndrome,1.0,Negative
"I took prozac several years ago, and it worked a little bit for a while. Often, though, it made me feel really lethargic, sleepy, and extremely apathetic to most things. It sort of did it&#039;s job, but not well enough, as I have now switched to something that works better.",Anxiety and Stress,5.0,Neutral
"Extreme fatigue
Pressure in my head
Headaches
Dry mouth",Angina,1.0,Negative
"I am 59, and have been on metoprol since I had an ablation about 5 months ago.  I was still experiencing a higher than normal heart rate (lower after ablation, but on the high side) and a high diastolic blood pressure. Metoprolol seemed to lower both numbers initially.  I was extremely fatigued and I started noticing weight gain.  That weight gain has been is now 18 pounds in the 5 months following the ablation. Now, none of my clothes fit. I have told my doctor about the weight gain, but he did not seem concerned. I am concerned. Has anyone else had this and were you able to do something about it?  Now, the heart rate is starting to increase again. ",Supraventricular Tachycardia,5.0,Neutral
I had the Mirena 1st inserted with great pain in 2006.  After the initial pain of the insertion it was a miracle!  After a lifetime of heavy and irregular periods I actually stopped having periods.  After 5 yrs I had it replaced.  My new Dr. did the removal and insertion of the new Mirena under general anesthesia.   For the first year all was great. Then the unexplained spotting began..I was told it was stress... then bleeding and cramping for months that finally ended with bright red blood loss during sex... scared the heck out of my boyfriend and me... again dr told me stress was to blame.  I changed Drs and was informed that hormone changes which cause the bleeding during sex.  I am having it removed.   Too much at risk the 2nd time around.,Abnormal Uterine Bleeding,7.0,Neutral
"I was prescribed Augmentin for a sinus infection. Worst medication experience of my life. I never get headaches, and after just three doses I had the worst headaches. My head throbbed. I couldn&#039;t sleep. My vision was impaired. I had excruciating stomach pains. I was far sicker than I was prior to going to the doctor. I will never take this horrible medication again. Beware of the side effects if you do.",Sinusitis,1.0,Negative
"NOT WORTH THE SIDE EFFECTS!! Seriously. My GP gave me Alesse because she had some packets that were sent to her for free. I thought &quot;Hey why not&quot; and took them. Well, second month was the worst. Gained probably 10lbs because I was constantly hungry. Became lethargic and it made me more depressed. That went away in the third month. Then the acne started. As someone who was on accutane and had relatively pimple-less skin, this pill brought up old wounds. Turns out this pill which is often persrcibed to TREAT acne, is one of the worst BC that causes acne. My skin is now 10x more oily and i have painful zits on my cheeks, chin and lips. Also my boobs have gotten bigger which I hate. The pill also causes me really bad cramps &amp; my period was off.",Birth Control,4.0,Negative
"I have been on Nuvaring for a little over a year and haven&#039;t had any problems until the past couple of months.  I&#039;ve had mood swings, felt very depressed and gained weight.  Also I have had heavier periods.  A couple of times I have completely bled through a tampon in less than an hour.  I am looking to switch birth controls or going off completely.",Birth Control,3.0,Negative
I&#039;ve been on Victoza for 3 weeks and have lost over 10 lbs. The nausea wasn&#039;t that bad for me I started at 0.6 then 1.2 the second week and now for the 3rd week I&#039;m at 1.8. I can only eat small amounts and at times have to force myself to eat. I&#039;m still watching what I eat and stick to natural foods and not processed or junk. I&#039;m hoping this continues for the long term. I hear that it can lose it&#039;s effectiveness after a while. I&#039;m hoping that doesn&#039;t happen with me. Plus I&#039;m training myself to eat small amounts and good food so hopefully that will help in the long run.,"Diabetes, Type 2",9.0,Positive
"I was diagnosed with bipolar 2, bipolar with depression, bipolar without mania... The main thing I noticed about Lamictal is that it seemed to have helped with ADHD symptoms, that I really didn&#039;t know I had, until I read the symptoms for that. I was chronically late, my whole adult life. I lost almost every job I had due to lateness. I had other ADHD symptoms, but that was not my diagnosis. Guess I thought all those things were just character flaws. 
After I started taking Lamictal, I was not late anymore! It seemed to have helped with depression, but any benefit from that has seemed to come back. I came to this site looking for extended, long range use of Lamictal.",Bipolar Disorde,8.0,Positive
"I hallucinated on the tablet, I took it at night and was laughing inappropriate for a long time and my head was half in a disco and half tired. If I wasn&#039;t recorded I would not have known",Migraine,1.0,Negative
"I started TriNessa Lo almost 2 months ago because I want to clear my acne. During the first month I didn&#039;t see any improvement. In fact I think that it even got worse. During the second month my face started clearing up. I am experiencing some side effects but I plan to continue to stay on the pill, hoping that my body will get used to it, and the side effects will fade away. 
My period was very light, and I experienced less cramping than before taking the pill.
Some side effects: I feel depressed during the first week (while I&#039;m on the white pills), and then this goes away, then my breasts get HUGE and hurt a lot. I can not stand moving without wearing bras. The tenderness and pain are awful.",Acne,7.0,Neutral
"I used the exterior cream to cure the mild itching , now my V skin is on fire, severe itching, swelling and burning even after I washed the cream .",Vaginal Yeast Infection,1.0,Negative
"I have neuropathy in my feet and slightly in my hands. Amitryptiline made my pain livable - still bad, but I could function. When I began taking Cymbalta along with the amitryptline, almost immediately the pain subsided and practically disappeared!  I no long take the Amitryptiline and Cymbalta keeps the pain to a low ebb, allowing me to sleep and join in activities I had long given up.  Doesn&#039;t do a thing for my &quot;attitude&quot;, but being relatively pain free does make me happy.",Pain,8.0,Positive
I have used every product out there- many did not work and others made my skin so dry and red.  Aczone works beautifully- my skin is very clear most of the time.  Highly recommended.,Acne,9.0,Positive
"I developed Irritable Bowel Syndrome-C and chronic constipation after a C-section. I now take Amitiza 24mcg 2x per day. I&#039;ve been on it for about 10 months.  It works fantastic. I can &quot;go&quot; at least once a day now.  Amitiza draws fluid from your body to increase bowel movement (I can actually hear it working) so it is important to drink a lot of water and eat before or immediately after. I&#039;ve noticed that if I don&#039;t drink a lot of water, nausea will develop. In addition, IBS-C has caused me to change my diet and exercise. That helped a lot too. NOTE-- If the prescription costs a lot, even with insurance, Amitiza offers a discount card online.",Irritable Bowel Syndrome,9.0,Positive
"I was initially given 75mg twice a day for a seizure related toa brain tumor. The tumor was removed. I started radiation and chemo 1 month later on the same dose for another month. I went to a neurologist because I was told he would prescribe any Meds for anti seizure. Well he doubled the dose for 2 weeks then tripled it. Now I&#039;m totally useless. They won&#039;t tell me why they tripled the dose only that I COULD have another seizure and that doctor was responsible. I&#039;m not understanding why, if I had absolutely no symptoms why he would do this",Seizures,6.0,Neutral
"I have been using Alesse for a year now and I have a great skin, although I did have clear skin prior to Alesse. I have gained 10lbs. I haven&#039;t been able to pin point what is wrong with me so to speak, and after reading all of the reviews, I feel I have FINALLY targeted the issue. I have always been sensitive... but I have been EXTREMELY EMOTIONAL this past year, crying at the smallest things. I have been so emotional that I am currently suffering from depression. 

Yes, I did not get pregnant, but I don&#039;t believe this pill is worth the side effects!",Birth Control,1.0,Negative
"I have been on Zovia for 4 months. I quickly gained 10 pounds, even though I workout 4 to 5 times a week and watch what I eat. I have gone from a B cup to a C cup, and I have developed horrible mood swings. I also experience bad acne about 4 days before and after my period.",Birth Control,2.0,Negative
"I got my nexplanon insert in December 2015- 5 months later and I wish I did not get it. I have crazy moods swings and get depressed for no reason. I have gained almost 10 pounds and workout 3-4 times a week. Although this form of contraceptive does its job of not getting you pregnant, I wish I researched more about the side effects. When I first got nexplanon I spotted for 2 months and after that I haven&#039;t had a period since the end of February. I do NOT recommend getting this insert!",Birth Control,1.0,Negative
"I&#039;ve been taking Percocet 10/650 for about a year due to a neck injury.  I take my medication as directed.  I don&#039;t take extra no matter how much I hurt.  I&#039;ve done therapy and injections.  I&#039;ve bought special chairs, keyboards and mattresses.  My doctor does not recommend neck surgery due to the low success rate.  

Percocet does not give the relief it did in the beginning. ",Pain,8.0,Positive
I have generalized anxiety disorder and I only take Valium as needed. When I am going to do something that will make me particularly anxious (e.g. a date with a girl) I take 3mg. It helps me to be myself.,Anxiety,8.0,Positive
"Just 2 days after my 1st injection the bleeding, fever, vomiting stopped. With time the diarrhea settled down to 1 to 3 times a day, all the mucus and excessive gas stopped. Six months after starting my colonoscopy show  the ulcers and inflammation  had cleared and healed completely in the entire large colon down  and there was  just chronic inflammation in rectum.","Crohn's Disease, Maintenance",10.0,Positive
"I can&#039;t recommend this pill. It&#039;s only been two days and my IQ has gone way down, I promise it wasn&#039;t always this way... Anyway, within two days of taking this pill my mind became incredibly forgetful, I forgot my own phone number, and it took me 5 minutes to be able to recall it again. I made multiple big mistakes at work, mistakes that I&#039;ve never made in my whole 2 years there. I was mortified, but thankfully my boss was really nice about it.

Also, I gave a girlfriend a ride home and she told me I was driving awfully and it kind of scared her. Normally I&#039;m a very cautious driver, and she told me that she&#039;d never felt that way before with my driving.

I can&#039;t continue taking this pill because it destroys my good work performance.",Bipolar Disorde,1.0,Negative
Apart from wanting to sleep a lot in afternoon finding great results found it best taking it at 10pm,Anxiety,7.0,Neutral
The patch causes itchiness but after a while it goes away. I noticed my breast are more full and perkier which is nice but I did notice I am more emotional on the patch and a headache here and there. This patch works great other than that. I recommend this to someone who doesn&#039;t like using pills and to someone who prefers a much easier and simple method.,Birth Control,7.0,Neutral
"I have been using Xulane for around 10 months. For the first seven months the birth control worked great! I noticed that I was much easier to get along with, periods were on a schedule, and my breasts appeared bigger! I didn&#039;t experience the weight gain or hardly any negative side effects. The most annoying thing was that the patch would sometimes fall off.

Fast forward to three months, I am bloated all the time and experienced a weight gain of about 15 pounds. I literally cannot stop crying and tend to bust out in tears at even a sad thought. The worst part is the mood swings. I finally decided enough was enough and threw them away. I will be requesting the birth control pill next time I am at the doctor.",Birth Control,4.0,Negative
"I take 5 milligrams as needed for school. I take it right before school, maybe around 6am, school starts around 7am. I&#039;ve noticed extremely dizziness, I get hot so easily, even more anxious, so much more depressed, so tired, terrible headaches, and excessive talking. I wake up in the morning to bump into every possible wall, my vision is completely blacked out. I can&#039;t walk for more than a mile, without feeling faint. I eat well and drink lots of water (due to a horrible experience with Vyvanse, in which i lost 20lbs) Not only that but falling asleep is killer. I&#039;ve never taken such a small dose, and have such poor results.",ADHD,5.0,Neutral
This has been the only relief I have found for Burning Mouth Syndrome. Not total relief but some.,Burning Mouth Syndrome,7.0,Neutral
"Very effective but the side effect are bad if I don&#039;t take it correctly. I think there are ways you can reduce the effects( getting correct dosage of course)
Before you consider going up a dose its worth considering. When you take them? I began taking  mine at night, but have since taking  through the day avoids headache, vision blurred, tremours. I take more last dose, breakfast, lunch &amp; dinner. 
Do you take them food?I take them with food, I defiantly feel side effect, every time if I don&#039;t eat properly and skiip a meal
Are you on any hormone treatment hrt/pill? I have found that there is a, as I call it, lower absorption rate as I&#039;m on hrt and my consultant phy agrees, so I am taking a high does.What dosage?
Even 25mg makes a difference.",Bipolar Disorde,9.0,Positive
"While I&#039;m confident Flagyl is working I have suffered some severe side effects, one of which is unlisted. I believe it is working because my abdominal pain has significantly decreased since being diagnosed with diverticulitis about 1 week ago.  I am also taking Cipro. The reported side effect of having a metallic taste is very understated! Not only do I have an AWFUL paint/chemical taste constantly in my mouth, but my sense of smell is on overdrive! This has contributed significantly to my loss of appetite, nausea, and in many cases my inability to function. I threw away my sheets because I couldn&#039;t sleep; I carry around room deodorizer with me because whenever I walk into a room I gag due to the smells - that are only overwhelming to me.",Diverticulitis,7.0,Neutral
"What is with the disposable applicators?  I&#039;m a grown woman and can handle pushing a pill inside my own vagina.  What I can&#039;t handle is throwing so much plastic straight into a landfill.  Vaginas don&#039;t have to be uber-sterile.
I can&#039;t justify so much waste, so even if this stuff works well, I&#039;ll have to try something else.  I guess the cream has a reusable applicator?",Atrophic Vaginitis,3.0,Negative
"This birth control is HORRIBLE. Every negative thing that people have been saying is true for me, besides the positive things (but everybody&#039;s bodies are different). I have NEVER had acne before taking this medicine and now my skin is horrible, my sex drive is lower, I&#039;ve been super sensitive to everything and I cry almost every day about literally nothing. I also gained 10 pounds in the 3.5 months I&#039;ve been taking it. I&#039;m getting a new prescription ASAP!",Birth Control,1.0,Negative
I started 10mg lexapro 5 days ago for anxiety. I had been free from mirtazapine for about 9 days before starting. At first I though I had a tummy bug and stayed in bed the next day.... 5 days later and I&#039;m still in bed and yesterday spoke with my doc who said to stop taking them. I was a complete nervous wreck... more than I had ever been without meds. Neither of the previous 2 meds (paxtine and mirtazapine) had side effects like this. This med is not for me sadly.,Anxiety,3.0,Negative
"I have weened off of Effexor 150mg and 75 mg over the past 3 weeks. I started Cymbalta 30 mg 2 days ago and was still have horrible adverse effects coming off of the Effexor. Effexor worked great for my anxiety and severe PMDD, but was making me extremely sluggish. I have also had chronic back pain for the past 7 years and my doctor wanted to switch me to Cymbalta. Well, the transition/withdrawal has been terrible. A lot if crying and panicking for no reason, crawling skin, etc. I took one Vistaril, and found it very helpful.  My Dr. has prescribed Vistaril 25-50 mg every 6 hours as needed. Has been a God send to help my anxiety during this transition. It also has been very helpful for my sons anxiety as well.",Anxiety,7.0,Neutral
This is the only medicine that totally helps me.  I seldom have to take Alprazolam or Valium with the Effexor.  I tried switching to Cymbalta for nerve pain..what a mistake.  I am back on Effexor. ,Anxiety,10.0,Positive
"I have been taking 50mg of Zoloft (generic) for almost a week now and have noticed increased fatigue and little to no difference in my mood. I am constantly tired and indifferent to everything, though I do realize it takes time for the medicines to kick in.  I was on Paxil for a month beforehand and felt no effect.  Hopefully Zoloft will do the trick. ",Depression,4.0,Negative
"Well I am a very busy 25 yr old mother of one cute boy, thus the pill was not an option for me since I know that I would forget to take it. Mirena was the best option for me. I have had it for 5 months now and trust me I love it but I have experienced side effects. I have gained a substantial about of weight since the insertion and the bloating happens often. Mirena does it&#039;s job well but I can not tolerate the weight gain. I will be removing it within two weeks and I know with my vigorous workout schedule and healthy eating habit I will be returning to my normal weight quickly. Then I&#039;ll get the Mirena again. I wouldn&#039;t consider Mirena to anyone who has had struggled with their weight and have more than fifteen pounds to lose. Good Luck.",Birth Control,4.0,Negative
I can say that it works far as suppressing your appetite but I only been on it for one day an I am waiting for it to leave my system I don&#039;t like the warm sensation over my body and a few chest pains very sleepy and sluggish feeling so for those reasons I will not be taking belviq anymore.,Obesity,2.0,Negative
"I have an oily face and bad acne usually around once a month. I started applying Epiduo every night, and saw results immediately. My face was clear and non-oily. Then within a couple days, my face became over dry and it hurt and burned to put it on at night. It was miserable but only lasted the 1st week. My face then returned to it&#039;s normal oily level, but while also having the roughness of dry skin and peely skin in some spots. My face was also extremely red and sensitive, and my acne was much worse. After about 1 month, I decided to stop using it every night and only apply it on acne when needed and it is so much better this way. Face is no longer overly sensitive and red. 

Side note, this does bleach towels/pillowcases/etc.",Acne,5.0,Neutral
"I&#039;ve had Mirena for about 3 months now.  I&#039;m 29, no kids, active lifestyle.  So far its been a mess down south.  I will bleed for a few hours every week or so, then constant spotting since day one (brown dry blood consistency).  My acne had gotten out of hand, so I went to my GP to get prescription acne lotion and hopefully that will help.  Breast tenderness and constant feeling of being bloated.  Just waiting for this to pass and my body to adjust&hellip;but not sure if it will.  I cannot do oral contraceptive as it makes me extremely moody and cause weight gain.",Abnormal Uterine Bleeding,1.0,Negative
"I loved this drug--until my insurance company said it was the &#039;same&#039; as another less expensive drug. I&#039;ve been miserable ever since. The acid reflux is returning, I am bloated and bowels are always a surprise. My surgeon is thinking a second surgery might be needed - if only I could afford the Protonix it could be avoided.",GERD,10.0,Positive
"Medicine appears to be effective. Injection sites are painful after injection, injection sites must be changed daily. Most approved injection sites can not be reached by user therefore requiring assistance.",Multiple Sclerosis,7.0,Neutral
"I was diagnosed with walking pneumonia and maybe Bronchitis. After 3 weeks of feeling really bad, with all flu symptoms. Coughing, sore throat and feeling crummy, I finally went to the Dr. She prescribed Benzonatate 100mg 3x a day as needed.  Plus Amoxcillan. Took 3 doses yesterday of the Benzonatate 2 today before deciding that it was making me worse.  After reading reviews, I see that I&#039;m not the only one experiencing theses side effects.  I feel like I&#039;m coughing up a Lung, (I&#039;m sure my neighbors hate me) fever, night sweats, headache so bad feels like my head will explode. Depressed...decided not to take anymore and still have side effects day 3. Calling Dr. In the morning.  Correction in a few hours.  It&#039;s 5:30 a.m. no sleep. Do not recommend.",Cough,1.0,Negative
"I was on this for a year and experienced weight gain, loss of sex drive, depression, thinning hair, and my hormone levels dropped (estrogen, testosterone, cortisol). For me it isn&#039;t worth all of the horrible side effects experienced.",Birth Control,1.0,Negative
"I began using Nasonex to help with nasal congestion and snoring. Worked really well. I was also on Cymbalta and Lamictal for depression. About the same time I started the Nasonex, I began to suffer from acute, chronic migraines, as many as 20 per month. I went through 5 different neurologists/specialists during a SIX year period in which I was more or less bedridden. When the drug company stopped supplying it in September, I had to stop taking it, and haven&#039;t had a migraine since. Doctors need to be made more aware of the link between Nasonex and migraines. This condition is incredibly hard to diagnose and treat, as everyone has different triggers. Doctors don&#039;t know- for six years they got nowhere-- I was the one who figured it out.",Allergic Rhinitis,2.0,Negative
"I was diagnosed with epilepsy at 25 and have been taking generic Keppra for 2.5 years. I started the drug to control grand mal seizures. It has been largely effective at controlling the seizures (I&#039;ve only experienced two since starting the meds). However, the side effects are less than ideal. I originally experienced intense feelings of anger and depression and would break down on a nightly basis. I tried taking the recommended B6 supplement and experienced little to no relief. My short term memory suffered horribly and I&#039;m able to recall very little of the first year in which I started taking the medication. I now take Zoloft to combat some of the side effects but still experience feelings of anger, depression, fatigue, and memory loss.",Epilepsy,5.0,Neutral
"My Healthcare Provider switched my 20mg daily dose of Lexapro to Zoloft. I was to completely stop Lexapro and begin Zoloft with a dose of 200 mg daily. 
That was 6 months ago. 
I am not having a good experience with Zoloft. My dosage was adjusted down over a period of 3 weeks to 50 mg. 
My mind was constantly whirling with anxiety, my mood was total chaos, swinging from depressed to mad. 
My alcohol consumption was increased both by quantity and frequency.
My appetite increased in the frequency of hunger and the amount of food I consume, but I never seem to hit the full feeling.
I am seesawing between 100 to 200 mg daily at this time, trying to totally stop Zoloft. 
Main reasons; weight gain (30lbs in 4 months ) &amp;  increased alcohol craving",Depression,2.0,Negative
Had my first injection today. No big deal at all. After reading all kinds of reviews I was anticipating a rough experience. In and out of the office in  20 minutes then off to work.,Osteoarthritis,10.0,Positive
"when I tried this drugs for first time I got so emotional that brought tears in my eyes I  couldn&#039;t believe that anything or any drugs could make this severe anxiety that I have could just simply disappear. I am normally a confident person in mind but no matter how I tried my body don&#039;t respond when ever I am speaking in front of people or meeting new person my hands start shaking  dramatically, that I will be out of control  my heart start pumping like crazy. This drug lately save my career. It is like magic I took 40mg everyday in the morning and I am now more confident than ever give it a try it will save you like it save me of course tell your doctor first",mance Anxiety,10.0,Positive
"NEVER AGAIN will I take this laxative. Took one at 2pm, and when nothing had happened at 8pm I took another two. Woke up at midnight with the worst cramps I have ever had - thought I needed to go to hospital. Have been to the loo three times so yes, it works but I would rather stay constipated than go through this excruciating pain ever again. Definitely not recommended and not even a warning from doctor or pharmacist that it causes this severe stomach pain.",Constipation,1.0,Negative
"This is my 3rd colonoscopy.  I&#039;ve done golightly in the past. This is my first time with Suprep.  I don&#039;t like drinking water, so this is always very difficult for me.  So far I&#039;ve made it through the 1st bottle, but dreading drinking the next one in a few hours.  I found the taste just awful and had to chase it with white grape juice.  I wish someone would develop a prep that didn&#039;t taste so badly.",Bowel Preparation,6.0,Neutral
"I am a 21 years old, healthy young girl. I was on YAZ for 8 months before noticing any changes, all was well. One day I noticed a deep blue vein on my inner calf and thought nothing of it.  Today I currently have spider veins and countless thick veins from my feet to thigh. I have countless days where I am in so much pain I do not want to get out of bed, my legs burn and ache to the point where I am in tears. I currently have to wear compression socks for the rest of my life and even with the socks and elevating my feet I am still in pain, I have to have constant Dr appointment to monitor for DVT, (deep vein thrombosis) this is all because of YAZ. My entire life is impacted because of YAZ I have to take ASA everyday now. I will never recommend YAZ",Birth Control,1.0,Negative
"I have had Bipolar disorder since I was 14 and never knew what it was. about 4 years ago I asked my Doc for something to help with depression and he prescribed 10 MG of Lexapro. I couldn&#039;t believe how much it helped.  He bumped me up to 20mg a day (I&#039;m 6ft , 250 lbs).When I went to a rehab where they prescribed a lot more meds wich eventually had very bad side effects so I was pulled off of it and switched to welabutrin.I think this drug works great alone but watch for other drug reactions.",Depression,7.0,Neutral
"Works like a charm! Very effective. 

Miserable side effects. I would take this only for emergencies.",Ulcerative Colitis,10.0,Positive
I had my Liletta put in on May 3rd this year. Keep in mind I&#039;ve never had children or been pregnant. During insertion I felt the most intense pain I had ever experienced before. I was one of the few that went into &quot;shock&quot; after having it put in. My cramps lasted the entire time I had it in and I had painful intercourse as well. I recently took it out myself and already feel a ton better. When I pulled the IUD out I noticed it was crooked instead of in a T shape. I am one of the few to have a bad experience but please talk to your doctor about it if you have any issues!,Birth Control,5.0,Neutral
"I took this pill for 2 months. I couldn&#039;t take it, I had nausea and vomiting. The only good thing was that I lost 20lbs when I was on it.",Schizophrenia,3.0,Negative
